key,ru,ro,en
"dish.shkmeruli.category","Горячие закуски","Gustări calde","Hot starters"
"dish.shkmeruli.description","Румяный цыплёнок, утопленный в кипящем молочно-чесночном соусе, — подаётся в глиняной сковороде кеци, ещё шипящим. Блюдо из горного села Шкмери: простое по составу и оглушительное по вкусу. Соус собирают хлебом до последней капли.","Pui rumen, scufundat în sos fierbinte de lapte și usturoi — servit în tigaia de lut ketsi, încă sfârâind. Un fel din satul de munte Shkmeri: simplu la compoziție, copleșitor la gust. Sosul se adună cu pâine până la ultima picătură.","Golden chicken drowned in a bubbling milk-and-garlic sauce, served still sizzling in a ketsi clay pan. A dish from the mountain village of Shkmeri: simple in its parts, overwhelming in flavour. You mop up the sauce with bread to the last drop."
"dish.shkmeruli.ritual","Не спешите: дайте соусу минуту настояться, потом макайте шоти. Хлеба понадобится больше, чем вы думаете.","Nu vă grăbiți: lăsați sosul un minut, apoi înmuiați shoti. Va fi nevoie de mai multă pâine decât credeți.","Don't rush: let the sauce settle for a minute, then dip your shoti. You'll need more bread than you think."
"dish.badrijani.tagline","Рулетики из баклажана с ореховой пастой","Rulouri de vinete cu pastă de nuci","Aubergine rolls with walnut paste"
"dish.badrijani.category","Закуски","Gustări","Starters"
"dish.badrijani.description","Тонкие ломтики жареного баклажана, свёрнутые вокруг пасты из грецкого ореха с чесноком и специями, украшенные зёрнами граната. Холодная закуска, с которой начинается почти каждое грузинское застолье, — и по которой узнают хорошую кухню.","Felii subțiri de vinete prăjite, rulate în jurul unei paste de nuci cu usturoi și mirodenii, presărate cu boabe de rodie. Gustarea rece cu care începe aproape orice masă georgiană — și după care se recunoaște o bucătărie bună.","Thin slices of fried aubergine rolled around a paste of walnuts, garlic and spices, studded with pomegranate seeds. The cold starter that opens nearly every Georgian feast — and the one by which a good kitchen is judged."
"dish.badrijani.ritual","Это первая тарелка на столе супры. Ешьте вилкой в один укус — орех, баклажан и гранат должны встретиться вместе.","E prima farfurie pe masa supra. Mâncați cu furculița, dintr-o mușcătură — nuca, vânăta și rodia trebuie să se întâlnească.","It's the first plate on the supra table. Eat it in one bite — the walnut, aubergine and pomegranate should meet together."
"dish.chakapuli.tagline","Ягнёнок, тушённый с тархуном и ткемали","Miel înăbușit cu tarhon și tkemali","Lamb stewed with tarragon and tkemali"
"dish.chakapuli.category","Горячие блюда","Feluri principale","Main courses"
"dish.chakapuli.description","Молодой ягнёнок, томлённый в белом вине с целыми охапками тархуна, кинзы и зелёной алычи ткемали. Весеннее блюдо Кахетии — кислое, травяное, ни на что не похожее. Его едят ложкой, вылавливая мясо из ароматного зелёного бульона.","Miel tânăr, gătit încet în vin alb cu brațe întregi de tarhon, coriandru și corcodușe verzi tkemali. Felul de primăvară al Kahetiei — acrișor, ierbos, fără seamăn. Se mănâncă cu lingura, pescuind carnea din zeama verde aromată.","Young lamb slow-cooked in white wine with whole armfuls of tarragon, coriander and green tkemali plums. Kakheti's springtime dish — tart, herbal, like nothing else. Eat it with a spoon, fishing the meat out of the fragrant green broth."
"dish.chakapuli.ritual","К чакапули положено белое вино и никакой спешки. Бульон — половина удовольствия, оставьте для него ложку.","La chakapuli se cuvine vin alb și deloc grabă. Zeama e jumătate din plăcere — păstrați o lingură pentru ea.","Chakapuli calls for white wine and no hurry. The broth is half the pleasure — save a spoon for it."
"full.menu.chef:Shurpa","Традиционный грузинский суп из мяса козленка, славящийся своим насыщенным и восстанавливающим вкусом.","Supă georgiană tradițională cu carne de capră, recunoscută pentru gustul său bogat și revigorant.","Traditional Georgian soup with goat meat, known for its rich and restorative flavor."
"full.menu.chef:Adjaruli","Знаменитая аджарская лодочка с тягучим сыром и яйцом. Легендарный вкус Грузии.","Celebra luntre din Adjaria cu brânză topită și ou. Gustul autentic al Georgiei.","The famous Adjarian boat with melted cheese and egg. The legendary taste of Georgia."
"full.menu.chef:Badrijani","Рулетики из баклажанов с ореховой пастой, грузинскими специями и зернами граната.","Rulouri de vinete prăjite cu pastă bogată de nuci, condimente georgiene și rodie.","Fried eggplant rolls with rich walnut paste, Georgian spices, and pomegranate."
"full.menu.chef:Mtsvadi Vițel","Отборная телятина, маринованная со специями и обжаренная на углях до идеальной нежности.","Carne de vițel selectă, marinată cu mirodenii și friptă pe cărbuni până la frăgezime.","Select veal, marinated with spices and charcoal-grilled to perfect tenderness."
"full.menu.sets:Set din carne Mix","Щедрый выбор: рёбрышки ягненка, люля-кебаб из ягненка и свинины-телятины, шашлык из телятины, ягненка и свинины, абхазура и золотистые дольки картофеля.","O selecție generoasă: costiță de miel, liulea de miel și porc-vițel, frigărui de vițel, miel și porc, abhazura și felii de cartofi aurii.","A generous selection: lamb ribs, lamb and pork-veal kebab, veal, lamb, and pork shish kebab, abkhazura, and golden potato wedges."
"full.menu.sets:Set din carne de miel","Пир из ягненка: рёбрышки, шашлык, люля-кебаб, корейка и вырезка ягненка. Подается с дольками картофеля и овощами гриль.","Festin cu miel: costițe, frigărui, liulea kebab, spate și mușchiuleț de miel. Servit cu felii de cartofi și legume la grătar.","Lamb feast: lamb ribs, shish kebab, kebab, lamb saddle, and tenderloin. Served with potato wedges and grilled vegetables."
"full.menu.sets:Set din carne de porc","Вкусный микс: свиные рёбрышки, шашлык, люля-кебаб свинина-телятина (классический и с сыром), абхазура и дольки картофеля.","Mix savuros: costițe de porc, frigărui, liulea-kebab porc-vițel (clasic și cu cașcaval), abhazura și felii de cartofi.","Savory mix: pork ribs, shish kebab, pork-veal kebab (classic and with cheese), abkhazura, and potato wedges."
"full.menu.sets:Set din carne de pui","Всё лучшее из курицы: крылышки, голени, бёдра, люля-кебаб с сыром и шашлык из курицы. Подается с овощами гриль и дольками картофеля.","Tot ce e mai bun din pui: aripi, pulpe, șold, liulea cu cașcaval și frigărui de pui. Servit cu legume la grătar și felii de cartofi.","The best of chicken: wings, drumsticks, thighs, chicken kebab with cheese, and shish kebab. Served with grilled vegetables and potato wedges."
"full.menu.cold:Mokharshuli Ena","Нежный отварной говяжий язык со специями, подается с хреном и горчицей.","Limbă de vită fragedă, fiartă cu mirodenii, servită cu hrean și muștar.","Tender boiled beef tongue with spices, served with horseradish and mustard."
"full.menu.cold:Bulgaruli","Запеченный болгарский перец с пикантной начинкой из грецкого ореха, чеснока и зелени.","Ardei grași copți, umpluți cu o pastă fină de nuci, usturoi și ierburi aromatice.","Roasted bell peppers stuffed with a savory walnut paste, garlic, and aromatic herbs."
"full.menu.grill-special:Abhazura","Пикантные мясные шарики в жировой сетке — традиционный деликатес из Абхазии.","Chiftelute picante învelite în prapure, o delicatesă tradițională din regiunea Abhazia.","Spicy meatballs wrapped in caul fat, a traditional delicacy from the Abkhazia region."
"full.menu.grill-special:Costițe de porc","Сочные рёбрышки с хрустящей корочкой, пропитанные ароматом дымка.","Costițe suculente cu crustă crocantă, pline de savoare și aromă de fum.","Juicy ribs with a crispy crust, packed with flavor and a smoky aroma."
"full.menu.grill-special:Costițe de miel","Сочные рёбрышки с хрустящей корочкой, пропитанные ароматом дымка.","Costițe suculente cu crustă crocantă, pline de savoare și aromă de fum.","Juicy ribs with a crispy crust, packed with flavor and a smoky aroma."
"full.menu.grill-special:Pui la grătar cu legume","Целый цыплёнок с золотистой корочкой в дуэте с сочными овощами гриль.","Pui întreg rumenit la foc, însoțit de un mix de legume coapte la grătar.","Whole golden-brown grilled chicken served with a mix of fire-roasted vegetables."
"full.menu.mangal:Mtsvadi","Нежное мясо, маринованное по старинным рецептам и обжаренное на углях.","Carne fragedă marinată după rețete vechi și friptă la cărbuni.","Tender meat marinated with traditional recipes and charcoal-grilled."
"full.menu.mangal:Liulea-kebab","Рубленое мясо с ароматными травами, приготовленное на шампуре над открытым огнем.","Carne tocată fin cu ierburi aromatice, modelată pe sabie și friptă la foc deschis.","Savory minced meat with aromatic herbs, skewered and flame-grilled to perfection."
"full.menu.fish:Steak Sturion","Благородная рыба на гриле, подается с лимоном и фирменным соусом.","Pește nobil pregătit la grătar, servit cu lămâie și sosul nostru special.","Premium fish grilled to perfection, served with lemon and our signature sauce."
"full.menu.fish:Dorada","Благородная рыба на гриле, подается с лимоном и фирменным соусом.","Pește nobil pregătit la grătar, servit cu lămâie și sosul nostru special.","Premium fish grilled to perfection, served with lemon and our signature sauce."
"full.menu.fish:Steak Somon","Благородная рыба на гриле, подается с лимоном и фирменным соусом.","Pește nobil pregătit la grătar, servit cu lămâie și sosul nostru special.","Premium fish grilled to perfection, served with lemon and our signature sauce."
"full.menu.fish:Păstrăv","Благородная рыба на гриле, подается с лимоном и фирменным соусом.","Pește nobil pregătit la grătar, servit cu lămâie și sosul nostru special.","Premium fish grilled to perfection, served with lemon and our signature sauce."
"full.menu.khachapuri:Regal","Королевское хачапури с двойной порцией сыра и премиальными ингредиентами.","O creație regală cu o cantitate dublă de brânză și ingrediente premium pentru un gust desăvârșit.","A royal creation with double cheese and premium ingredients for a perfect taste."
"full.menu.khachapuri:Imeruli","Классическое круглое хачапури из Имеретии с обильной начинкой из молодого сыра.","Haceapuri clasic rotund din regiunea Imereti, cu umplutură bogată de brânză tânără.","Classic round khachapuri from the Imereti region with a rich young cheese filling."
"full.menu.khachapuri:Adjaruli","Знаменитая аджарская лодочка с тягучим сыром и яйцом. Легендарный вкус Грузии.","Celebra luntre din Adjaria cu brânză topită și ou. Gustul autentic al Georgiei.","The famous Adjarian boat with melted cheese and egg. The legendary taste of Georgia."
"full.menu.khachapuri:Adjaruli cu ceashushuli","Оригинальная лодочка, наполненная пряным чашушули из телятины или ягненка вместо яйца.","O luntre inedită umplută cu tocană picantă de vițel sau miel în loc de ou.","A unique boat filled with spicy veal or lamb stew instead of an egg."
"full.menu.khachapuri:Phlovani","Традиционная лепешка с полезной начинкой из свежего шпината и сыра.","Plăcintă tradițională cu umplutură sănătoasă de spanac proaspăt și brânză.","Traditional flatbread with a healthy filling of fresh spinach and cheese."
"full.menu.khachapuri:Megruli","Традиционная лепешка с сыром внутри и дополнительным слоем запеченного сыра сверху.","Plăcintă tradițională cu brânză în interior și un strat generos de brânză rumenită deasupra.","Traditional flatbread with cheese inside and a generous layer of browned cheese on top."
"full.menu.khachapuri:Kubdari","Гордость Сванетии — лепешка с мелко рубленным мясом и особым набором сванских специй.","Specialitate muntoasă din Svaneti, umplută cu carne tocată mărunt și condimente specifice.","Svanetian mountain specialty, filled with finely chopped meat and specific regional spices."
"full.menu.khachapuri:Penovani","Хрустящее слоеное хачапури с начинкой из горячего сыра сулугуни.","Haceapuri din aluat foietaj crocant, umplut cu brânză Suluguni fierbinte.","Crispy puff pastry khachapuri filled with hot Suluguni cheese."
"full.menu.hinkali:Mama Hinkali","Гастрономическое шоу: пять сочных хинкали, спрятанных внутри одной гигантской «Мамы».","O experiență spectaculoasă: cinci hinkali suculente ascunse într-una gigantice.","A spectacular experience: five juicy hinkali hidden inside one giant ""Mother"" hinkali."
"full.menu.hinkali:Hinkali cu cașcaval","Нежные хинкали с обильной начинкой из смеси тягучих грузинских сыров.","Hinkali delicate umplute cu un mix bogat de brânzeturi georgiene topite.","Delicate hinkali filled with a rich mix of melted Georgian cheeses."
"full.menu.hinkali:Hinkali mixt porc-vită","Классический рецепт с фаршем из свинины и телятины, горными травами и обилием горячего бульона.","Rețeta clasică cu carne tocată de porc și vită, condimente montane și mult suculent.","Classic recipe with minced pork and beef, mountain spices, and plenty of broth."
"full.menu.hinkali:Hinkali cu carne de miel","Насыщенный аутентичный вкус ягненка, дополненный кинзой и ароматными кавказскими травами.","Gust intens și autentic de carne de miel, completat de coriandru și ierburi aromatice.","Intense and authentic lamb flavor, complemented by cilantro and aromatic herbs."
"full.menu.hinkali:Hinkali cu carne de vită","Традиционные хинкали с телятиной и отборными грузинскими специями.","Hinkali tradiționale umplute cu carne de vită tocată și condimente georgiene selecte.","Traditional hinkali filled exclusively with minced beef and select Georgian spices."
"full.menu.soups:Kharcho","Пряный наваристый суп из телятины с рисом, зеленью и традиционными грузинскими специями.","Supă consistentă din carne de vită cu orez, verdeață proaspătă și condimente georgiene.","Hearty beef soup with rice, fresh herbs, and traditional Georgian spices."
"full.menu.soups:Shurpa","Традиционный грузинский суп из мяса козленка, славящийся своим насыщенным и восстанавливающим вкусом.","Supă georgiană tradițională cu carne de capră, recunoscută pentru gustul său bogat și revigorant.","Traditional Georgian soup with goat meat, known for its rich and restorative flavor."
"full.menu.soups:Borș roșu","Классический красный борщ со свежей капустой и нежной телятиной, приготовленный в лучших традициях.","Borș roșu clasic pregătit cu varză și carne fragedă de vițel, servit după cele mai bune tradiții.","Classic red borscht with cabbage and tender veal, prepared according to the best traditions."
"full.menu.soups:Solyanka","Густой суп с пятью видами мясных изделий и маринованными огурчиками. Подается со сметаной, маслинами и лимоном.","Supă densă preparată cu 5 feluri de salam și castraveți murați. Se servește cu smântână, măsline și lămâie.","Thick soup made with 5 types of meats and pickles. Served with sour cream, olives, and lemon."
"full.menu.soups:Chikhirtma cu carne de pui","Бархатистый белый куриный суп с добавлением ароматной зелени и грузинских специй.","Supă albă catifelată cu carne de pui, îmbogățită cu verdețuri aromate și condimente georgiene.","Velvety white chicken soup enriched with aromatic herbs and Georgian spices."
"full.menu.soups:Chikhirtma cu hinkali","Оригинальная вариация белого куриного супа, подается с аппетитными хинкали и свежей зеленью.","O variantă inedită a supei albe de pui, servită cu hinkali delicioși și ierburi proaspete.","A unique version of white chicken soup served with delicious hinkali and fresh herbs."
"full.menu.salads:Salată Kahetiană","Богатый микс из баклажанов, сладкого перца, черри, огурцов и лука с чесноком, укропом и майонезом.","Un mix bogat de vinete, ardei dulce, roșii cherry, castraveți și ceapă, cu dressing de maioneză și usturoi.","A rich mix of eggplant, bell pepper, cherry tomatoes, cucumbers, and onion with garlic, dill, and mayo."
"full.menu.salads:Salată cu limbă","Нежный говяжий язык, морковь и маринованные огурчики с чесноком, укропом и майонезом.","Limbă de vită fragedă, morcov și castraveți murați, asezonate cu usturoi, mărar și maioneză.","Tender beef tongue, carrots, and pickles seasoned with garlic, dill, and mayonnaise."
"full.menu.salads:Salată Gamarjoba","Тёплый салат с нежной телятиной, миксом свежей зелени и фирменным соусом «Gamarjoba».","Salată caldă cu carne de vițel fragedă, verdețuri mixte și sosul special de autor „Gamarjoba"".","Warm salad with tender veal, mixed greens, and the signature ""Gamarjoba"" special sauce."
"full.menu.salads:Salată Georgiană","Традиционная свежесть: помидоры, огурцы, красный лук, базилик и петрушка с ароматным домашним маслом.","Prospețime tradițională: roșii, castraveți, ceapă roșie, busuioc și pătrunjel cu unt aromat de casă.","Traditional freshness: tomatoes, cucumbers, red onion, basil and parsley with aromatic homemade butter."
"full.menu.salads:Salată Guriană","Помидоры, огурцы и красный лук с добавлением грецкого ореха, кинзы и винного уксуса.","Roșii, castraveți și ceapă roșie, completate cu nuci, coriandru proaspăt și un strop de oțet.","Tomatoes, cucumbers, and red onion with walnuts, fresh cilantro, and a touch of vinegar."
"full.menu.salads:Atsatsili de vinete","Запеченные баклажаны, красный лук, грецкий орех и чеснок с кинзой и уксусом.","Vinete coapte, ceapă roșie, nuci și usturoi, aromatizate cu coriandru și oțet.","Roasted eggplant, red onion, walnuts, and garlic, flavored with cilantro and vinegar."
"full.menu.hot-starters:Creveți cu spanac","Современная интерпретация: очищенные креветки в легендарном сливочно-чесночном соусе.","Reinterpretare modernă: creveți decorticați în faimosul sos cremos de usturoi.","A modern twist: peeled shrimps in the legendary creamy garlic sauce."
"full.menu.hot-starters:Kucimaci","Куриные потрошки, обжаренные с зернами граната, грецким орехом и пикантными специями.","Măruntaie de pui călite cu semințe de rodie, nuci și mirodenii picante.","Chicken offal sautéed with pomegranate seeds, walnuts, and spicy seasonings."
"full.menu.hot-starters:Semințe de miel","Мелкие кусочки нежных рёбрышек ягненка, обжаренные до золотистой хрустящей корочки с добавлением сванской соли.","Bucățele fragede de costiță de miel, prăjite până la o crustă crocantă și aurie, condimentate cu sare de Svaneti.","Tender small pieces of lamb ribs, fried until golden and crispy, seasoned with traditional Svaneti salt."
"full.menu.mains:Tvini","Деликатес из телячьих мозгов, томленый на сковороде со сливочным маслом и пряными травами.","Delicatețe din creier de vițel, pregătită la tigaie cu unt și ierburi aromatice.","Delicate veal brain sautéed in butter with aromatic herbs."
"full.menu.mains:Odjahuri","«Домашнее» блюдо из мяса или грибов, обжаренное с картофелем, луком и грузинскими специями.","Un fel de mâncare „de familie"", cu carne sau ciuperci și cartofi prăjiți, ceapă și condimente georgiene.","A ""family-style"" dish of meat or mushrooms fried with potatoes, onions, and Georgian spices."
"full.menu.mains:Ceashushuli","Нежное мясо, томленое в густом томатном соусе с болгарским перцем, чесноком и зеленью.","Carne fragedă tomleată într-un sos dens de roșii cu ardei dulce, usturoi și verdeață.","Tender meat stewed in a rich tomato sauce with bell peppers, garlic, and herbs."
"full.menu.mains:Chakapuli","Ароматное рагу из мяса ягненка, томленое в белом вине с обилием тархуна и зеленой алычи.","Tocană aromată din carne de miel, gătită cu vin alb, tarhon din abundență și prune verzi (tkemali).","Fragrant lamb stew slow-cooked in white wine with plenty of tarragon and green sour plums."
"full.menu.mains:Chakhokhbili","Кусочки курицы, тушенные в насыщенном соусе из томатов с луком, базиликом и кавказскими специями.","Bucăți de pui înăbușite într-un sos bogat de roșii cu ceapă, busuioc și mirodenii caucaziene.","Chicken pieces simmered in a rich tomato sauce with onions, basil, and Caucasian spices."
"full.menu.garnish:Gomi","Традиционная каша из кукурузной муки крупного и мелкого помола — нежная, густая и очень сытная.","Terci tradițional din mălai fin, cremos și săios, simbolul ospitalității georgiene.","Traditional Georgian cornmeal mash, smooth and hearty — a true staple of hospitality."
"full.menu.garnish:Legume la grătar","Микс сезонных овощей (перец, кабачки, баклажаны, грибы), запеченных на открытом огне с ароматом дымка.","Mix de legume de sezon (ardei, dovlecei, vinete, ciuperci) rumenite la foc deschis.","Seasonal vegetable mix (bell peppers, zucchini, eggplant, mushrooms) charred to perfection over an open flame."
"full.menu.garnish:Felii de cartofi cu usturoi","Золотистые дольки картофеля, обжаренные с пикантным чесноком и свежей зеленью.","Cartofi aurii tăiați felii, trași la tigaie cu usturoi proaspăt și verdeață aromată.","Golden potato wedges sautéed with fresh garlic and aromatic herbs."
"full.menu.garnish:Cartofi pai","Хрустящий картофель, нарезанный соломкой и обжаренный до золотистой корочки.","Cartofi crocanți tăiați pai, prăjiți până la o crustă perfectă, serviți cu sare.","Crispy French fries deep-fried to a golden crunch, lightly salted."
"full.menu.bread:Șoti","Традиционный грузинский хлеб, испечённый на стенках глиняной печи (тандыр).","Pâine tradițională georgiană, coaptă pe pereții cuptorului de lut (tandîr).","Traditional Georgian bread baked on the walls of a clay oven (tandoor)."
"full.menu.bread:Lavaș","Тонкий бездрожжевой лаваш, идеально подходящий к сочному шашлыку.","Lipie subțire, dospită fin, ideală pentru a rula carnea de pe grătar.","Thin flatbread, perfect for wrapping grilled meats."
"full.menu.bread:Adjika · Satsebeli · Matsoni · Tkemali","Adjica — Острая паста с перцем и чесноком. Sațebeli — Томатный соус со специями и кинзой. Mațoni — Кисломолочный соус с чесноком. Tkemali — Пикантный соус из зеленой алычи. Smântână / Ketchup — Сметана / Кетчуп.","Adjica — Pastă picantă cu ardei și usturoi. Sațebeli — Sos de roșii cu ierburi și condimente. Mațoni — Sos de iaurt tradițional cu usturoi. Tkemali — Sos de prune verzi cu note acrișoare. Smântână / Ketchup — Smântână proaspătă / Ketchup.","Adjica — Spicy chili and garlic paste. Sațebeli — Tomato sauce with herbs and spices. Mațoni — Traditional yogurt sauce with garlic. Tkemali — Sour green plum sauce. Smântână / Ketchup — Sour cream / Ketchup."
"full.menu.desserts:Napoleon","Классический многослойный десерт из хрустящего слоеного теста с нежным ванильным кремом.","Desert clasic cu multe straturi fine de foietaj și cremă fină de vanilie.","Classic multi-layered puff pastry dessert with smooth vanilla custard."
"full.menu.desserts:Karakum","Хрустящий десерт с шоколадом и орехами, вдохновленный вкусами детства.","Un desert crocant cu ciocolată și nuci, inspirat din gusturile copilăriei.","A crunchy chocolate and nut dessert inspired by childhood flavors."
"full.menu.desserts:Coptură cu mac","Домашняя выпечка с обильной маковой начинкой, приготовленная по традиционному рецепту.","Prăjitură de casă bogată în mac, pregătită după o rețetă tradițională caldă.","Homemade poppy seed cake prepared according to a warm traditional recipe."
"full.menu.desserts:Înghețată","Ассорти из различных сортов крафтового мороженого для прохладного завершения трапезы.","Diverse sortimente de înghețată artizanală pentru un final răcoros de masă.","Assorted craft ice cream flavors for a refreshing end to the meal."
"full.menu.desserts:Matzoni","Традиционный грузинский йогурт, полезный и освежающий, подается с ягодами.","Iaurt tradițional georgian, sănătos și răcoritor, servit adesea cu miere și nuci.","Traditional Georgian yogurt, healthy and refreshing, often served with honey and walnuts."
"full.dish.adjaruli","Знаменитая аджарская лодочка с тягучим сыром и яйцом. Легендарный вкус Грузии.","Celebra luntre din Adjaria cu brânză topită și ou. Gustul autentic al Georgiei.","The famous Adjarian boat with melted cheese and egg. The legendary taste of Georgia."
"full.dish.badrijani","Рулетики из баклажанов с ореховой пастой, грузинскими специями и зернами граната.","Rulouri de vinete prăjite cu pastă bogată de nuci, condimente georgiene și rodie.","Fried eggplant rolls with rich walnut paste, Georgian spices, and pomegranate."
"full.dish.mtsvadi","Нежное мясо, маринованное по старинным рецептам и обжаренное на углях.","Carne fragedă marinată după rețete vechi și friptă la cărbuni.","Tender meat marinated with traditional recipes and charcoal-grilled."
"full.dish.mama-hinkali","Гастрономическое шоу: пять сочных хинкали, спрятанных внутри одной гигантской «Мамы».","O experiență spectaculoasă: cinci hinkali suculente ascunse într-una gigantice.","A spectacular experience: five juicy hinkali hidden inside one giant ""Mother"" hinkali."
"full.dish.chakapuli","Ароматное рагу из мяса ягненка, томленое в белом вине с обилием тархуна и зеленой алычи.","Tocană aromată din carne de miel, gătită cu vin alb, tarhon din abundență și prune verzi (tkemali).","Fragrant lamb stew slow-cooked in white wine with plenty of tarragon and green sour plums."
